,Unnamed: 0,Name,Style,StyleID,ABV,IBU,Color,Simple_style,Style_color,Style_ibu
9370,14301,Day Drinker,Dortmunder Export,55,5.49,28.0,5.52,Pale Lager/Blonde Ale,1,1
39290,62723,Vagabond clone,American Pale Ale,10,4.8,54.46,11.75,Pale Ale,2,5
20562,32264,American Pale #1,American Pale Ale,10,5.01,41.54,10.89,Pale Ale,2,5
44187,70857,Haze - NEIPA,American IPA,7,7.65,90.59,5.0,Pale Ale,2,5
27850,44201,Ace of Spades,American IPA,7,7.15,82.99,15.0,Pale Ale,2,5
18495,28914,Drakonic Clone,Imperial Stout,87,10.32,48.75,33.41,Stout/Porter,5,4
18865,29493,Janet's Brown - By Tasty McDole,American Brown Ale,6,7.22,60.63,22.31,Brown Ale,4,2
15725,24390,2016 - 11/19 - Holiday Amber Ale 2016,American Amber Ale,4,5.11,38.96,15.0,Pale Ale,2,5
35951,57341,What I got IPA,American IPA,7,4.18,43.39,5.49,Pale Ale,2,5
13452,20791,Wit 4-2015,Witbier,175,5.11,2.77,3.78,Wheat,0,0
41013,65549,Four Square Pale Ale,American Pale Ale,10,5.86,40.54,7.58,Pale Ale,2,5
30487,48479,Meat Smokin' IPA,American Pale Ale,10,5.36,41.05,5.17,Pale Ale,2,5
34858,55583,Big wave Clone,American Pale Ale,10,5.91,33.17,8.1,Pale Ale,2,5
36387,58032,#5 BIAB Columbus stout (Parti-gyle),American Stout,12,5.62,90.0,37.35,Stout/Porter,5,4
42972,68850,Havrestout 0611,American Light Lager,9,6.4,21.36,6.0,Pale Lager/Blonde Ale,1,1
29054,46148,Old school Pale Ale,American Pale Ale,10,5.95,40.67,5.37,Pale Ale,2,5
9188,13998,Seasons in Singapore?,Saison,134,6.99,35.03,15.0,Pale Ale,2,5
28361,45027,Intergalactic Chocolate Porter,American Porter,11,5.56,28.94,48.06,Stout/Porter,5,4
43129,69118,Hazy Brew,American IPA,7,7.05,58.44,8.4,Pale Ale,2,5
1061,1466,Bakke Brygg Påskeøl 2014 20 l,Belgian Blond Ale,20,6.4,21.68,6.0,Pale Lager/Blonde Ale,1,1
14006,21681,Trainbridge Pale Ale,American Pale Ale,10,5.49,31.88,8.64,Pale Ale,2,5
5384,7858,Sierra Nevada Celebration Ale,American IPA,7,6.33,71.85,11.76,Pale Ale,2,5
44681,71658,Skjærgaardsøl,International Pale Lager,90,5.14,19.82,3.08,Pale Lager/Blonde Ale,1,1
28148,44669,Prvo Pivo,American Pale Ale,10,5.77,33.7,6.45,Pale Ale,2,5
15771,24464,Grunnoppskrift IPA Singel hop,English IPA,65,6.51,56.99,8.34,Pale Ale,2,5
11993,18497,Nous Juice,American IPA,7,7.37,40.6,5.0,Pale Ale,2,5
45257,72572,Saison recolte,Saison,134,4.67,30.0,9.83,Pale Ale,2,5
29157,46303,The Beautiful IPA,American Light Lager,9,6.4,28.0,6.0,Pale Lager/Blonde Ale,1,1
7696,11602,Grain IPA,American IPA,7,5.33,90.0,5.0,Pale Ale,2,5
23539,37160,Holmes Under The Hammer,American Pale Ale,10,5.58,38.99,6.12,Pale Ale,2,5
31473,50128,Ekuanot HBC 366 American Pale Ale,American Pale Ale,10,5.47,40.93,5.86,Pale Ale,2,5
697,947,Sika Red,American Strong Ale,13,8.9,86.05,18.9,Strong Ale,3,3
25466,40349,Diy gault,American IPA,7,4.52,90.0,6.27,Pale Ale,2,5
31050,49404,Cloudy abyss,Belgian Tripel,26,8.65,30.0,5.0,Pale Ale,2,5
5647,8282,IPA Hopped Away,American IPA,7,5.95,90.0,5.01,Pale Ale,2,5
24341,38494,JWS IPA Special Series 001,American IPA,7,5.39,90.0,6.06,Pale Ale,2,5
1288,1801,Raspberry Wheat,American Wheat or Rye Beer,15,5.33,19.63,3.54,Wheat,0,0
7078,10601,La Fin du Monde,Belgian Tripel,26,8.89,30.0,7.92,Pale Ale,2,5
34247,54593,Penn state demoralization ipa,American Pale Ale,10,6.75,82.59,7.17,Pale Ale,2,5
1334,1861,Honey Blonde Ale,Blonde Ale,30,5.35,18.89,6.0,Pale Lager/Blonde Ale,1,1
39053,62323,Lupuleros: Bravísimo! Session SMASH IPA,American IPA,7,4.6,34.39,5.1,Pale Ale,2,5
42794,68500,DDH Galaxy IPA,American IPA,7,6.09,30.0,5.0,Pale Ale,2,5
43804,70226,Freestyle IPA,American IPA,7,6.08,40.69,5.0,Pale Ale,2,5
3128,4482,Fullers London Pride Clone,Ordinary Bitter,118,4.91,32.64,9.9,Pale Ale,2,5
45733,73402,Fatty Tire,American Amber Ale,4,5.34,30.0,15.0,Pale Ale,2,5
2896,4147,IPA Citra,American IPA,7,5.59,81.05,6.74,Pale Ale,2,5
9000,13685,Kettle Sour,Berliner Weisse,27,4.97,17.62,3.38,Wheat,0,0
38270,61067,Fermentation in Motion,American IPA,7,7.68,30.0,5.25,Pale Ale,2,5
25636,40632,Pakuranga Milk Stout,Sweet Stout,162,5.97,18.0,37.19,Stout/Porter,5,4
4341,6264,Sander's Oatmeal Stout,Oatmeal Stout,114,5.5,28.01,38.81,Stout/Porter,5,4
23096,36475,Waspberry Wheat,American Wheat or Rye Beer,15,5.24,9.99,5.62,Wheat,0,0
14487,22469,Stone ipa all grain,American IPA,7,5.3,70.88,9.51,Pale Ale,2,5
24195,38264,OBK Chocolate Milk Stout,Sweet Stout,162,5.64,31.72,48.34,Stout/Porter,5,4
9918,15203,The Doctor,American IPA,7,7.25,61.05,5.07,Pale Ale,2,5
18833,29447,Pilsner v1,Czech Premium Pale Lager,50,5.15,28.0,6.0,Pale Lager/Blonde Ale,1,1
31081,49457,Stout Redux,American Stout,12,5.43,49.74,40.58,Stout/Porter,5,4
12613,19455,Bee Cave's Robust Porter BIAB,Robust Porter,129,6.08,47.43,35.6,Stout/Porter,5,4
36958,58922,Twist&Stout,Dry Stout,58,4.51,36.1,39.17,Stout/Porter,5,4
8022,12130,Motueka Blonde Ale,Blonde Ale,30,4.92,21.95,5.04,Pale Lager/Blonde Ale,1,1
1086,1504,Russian Imperial Stout for Barrel 2,Russian Imperial Stout,132,8.74,90.0,40.0,Stout/Porter,5,4
39643,63301,2ipa mandarina,Imperial IPA,86,8.41,71.65,7.46,Pale Ale,2,5
25807,40899,SCHIPA,American IPA,7,6.55,47.54,10.04,Pale Ale,2,5
27929,44321,Prototype.4,American IPA,7,6.74,75.91,7.53,Pale Ale,2,5
25950,41116,Citra Helles,Munich Helles,109,5.71,28.0,3.95,Pale Lager/Blonde Ale,1,1
40502,64720,Brew Brighter PA,American Light Lager,9,6.39,27.19,6.0,Pale Lager/Blonde Ale,1,1
45527,73044,Dubbel with raisins,Belgian Dubbel,22,8.33,20.0,15.75,Strong Ale,3,3
43113,69091,Gweg gets things done. 090218,American Pale Ale,10,6.35,34.7,5.94,Pale Ale,2,5
45324,72678,Belgian Wit Batch II,Witbier,175,5.05,17.22,3.63,Wheat,0,0
4292,6191,Mikklan New England IPA,American IPA,7,6.12,30.0,6.21,Pale Ale,2,5
45347,72721,Vildsvinet Bökar,Belgian Tripel,26,8.94,30.0,6.22,Pale Ale,2,5
20820,32695,Zyto,American Light Lager,9,6.39,28.0,5.97,Pale Lager/Blonde Ale,1,1
25152,39825,Extreme Russian Imperial Stout,Russian Imperial Stout,132,10.87,90.0,50.0,Stout/Porter,5,4
17537,27330,Pumpkin Whip,American Amber Ale,4,6.08,34.21,10.69,Pale Ale,2,5
34390,54830,Butthead Four Hearted Ale,Double IPA,56,8.7,97.59,8.21,Pale Ale,2,5
21894,34475,Piney IPA,American IPA,7,7.04,90.0,5.02,Pale Ale,2,5
19489,30521,Dubbel Jul,Belgian Dubbel,22,6.65,20.0,13.82,Strong Ale,3,3
23990,37921,Syys IPA,American IPA,7,4.91,68.87,7.45,Pale Ale,2,5
30244,48107,Mackweizer,Cream Ale,45,5.56,18.77,4.52,Pale Lager/Blonde Ale,1,1
17915,27942,West St Red,American Amber Ale,4,5.26,30.0,15.0,Pale Ale,2,5
15878,24652,Chiron Bitter,Ordinary Bitter,118,3.1,30.0,6.93,Pale Ale,2,5
43224,69265,Pilsen logo existo,German Pilsner (Pils),81,4.92,28.0,3.53,Pale Lager/Blonde Ale,1,1
9640,14767,Todd the Axeman,American IPA,7,7.16,79.03,6.31,Pale Ale,2,5
7760,11697,Cream ale brewed 02-22-2014,Cream Ale,45,4.11,17.06,3.73,Pale Lager/Blonde Ale,1,1
40543,64780,Green Creek Hazy IPA,American IPA,7,5.95,39.16,11.07,Pale Ale,2,5
18399,28750,Citra IIPA,Imperial IPA,86,7.77,63.49,6.02,Pale Ale,2,5
40370,64518,PIRUKAPA,American Pale Ale,10,6.03,49.52,7.9,Pale Ale,2,5
15404,23891,Sorachi ace french saison,Saison,134,6.06,30.0,5.0,Pale Ale,2,5
29451,46760,PR Stunt,American Pale Ale,10,5.39,53.75,8.33,Pale Ale,2,5
11666,17983,Banyai Bastard DME 31614,Strong Scotch Ale,160,8.15,69.38,21.78,Strong Ale,3,3
42667,68297,CCC APA,American Pale Ale,10,5.68,41.19,9.66,Pale Ale,2,5
34128,54407,Hands In The Cookie Jar,American Pale Ale,10,4.37,34.77,6.47,Pale Ale,2,5
6492,9647,Mosaic Session IPA,American IPA,7,4.71,64.73,5.37,Pale Ale,2,5
7469,11223,Row 2 Hill 56 Clone,American Pale Ale,10,6.12,49.29,6.28,Pale Ale,2,5
40254,64316,Siste utendørsIPA,American IPA,7,6.32,86.8,6.92,Pale Ale,2,5
43973,70505,109.110.111 Partigyle 21-01-18,International Pale Lager,90,5.25,19.25,3.72,Pale Lager/Blonde Ale,1,1
42236,67563,Beerardelli Chocolate Stout w/Raspberries...,Imperial Stout,87,9.01,69.23,50.0,Stout/Porter,5,4
41681,66654,Farmbroy 14.1,Saison,134,3.9,30.0,5.0,Pale Ale,2,5
22438,35408,Jubileum #50,American IPA,7,6.73,48.41,5.0,Pale Ale,2,5
23747,37506,Ollirama Mistery Pale,American Pale Ale,10,5.23,42.03,6.03,Pale Ale,2,5
10850,16662,Imperial My-PA,Imperial IPA,86,8.87,90.0,11.69,Pale Ale,2,5
14572,22603,G'Knight Clone,American IPA,7,8.81,83.52,11.81,Pale Ale,2,5
30588,48639,Aunt DeDe's Beer II,Saison,134,5.31,35.36,8.71,Pale Ale,2,5
33511,53424,ZUNFTHAUS HEFEWEIZEN,Weissbier,169,4.96,17.11,3.17,Wheat,0,0
17756,27668,The Kitchen Sink,American IPA,7,6.99,58.26,5.0,Pale Ale,2,5
13360,20644,Dangerous Belgian,Belgian Golden Strong Ale,23,6.0,31.81,10.33,Strong Ale,3,3
26371,41773,NERDIPA,American IPA,7,6.48,54.39,12.9,Pale Ale,2,5
44709,71703,Blonde Casino 8/2/18,Blonde Ale,30,4.3,13.39,4.78,Pale Lager/Blonde Ale,1,1
34632,55219,Paul Wicksteed SuperCharger,American Pale Ale,10,5.37,58.45,5.65,Pale Ale,2,5
30872,49110,Valge 2.0,Weizen/Weissbier,170,5.16,14.31,3.66,Wheat,0,0
2894,4140,Bekkalokket,American Porter,11,6.18,44.71,38.57,Stout/Porter,5,4
17636,27475,Breaking All The Rules,American Porter,11,6.01,41.37,49.97,Stout/Porter,5,4
22825,36029,Citrennial RyIPA,American IPA,7,6.21,58.92,13.05,Pale Ale,2,5
25952,41118,Hglobhogmogbling ruby red ale,Northern English Brown,113,4.68,28.36,17.33,Brown Ale,4,2
18707,29255,Northeast IPA - Batch 1,American IPA,7,6.2,90.0,5.0,Pale Ale,2,5
28959,45992,Käyttö ESB,Extra Special/Strong Bitter (ESB),68,6.28,41.39,11.74,Pale Ale,2,5
29046,46138,DUPEN WEEE,Wee Heavy,168,8.77,21.16,13.36,Strong Ale,3,3
44539,71439,CRANKCASE PORTER AKA Harvey's Porter,American Porter,11,6.17,38.67,36.08,Stout/Porter,5,4
43167,69179,Wakatu Hops Competition,British Golden Ale,35,4.24,28.0,6.0,Pale Lager/Blonde Ale,1,1
6528,9708,Orange Cream,Cream Ale,45,5.03,15.98,4.62,Pale Lager/Blonde Ale,1,1
13889,21488,Das Frankenpils,German Helles Exportbier,78,6.4,28.0,5.77,Pale Lager/Blonde Ale,1,1
29470,46787,East Atlanta Wee Heavy,Wee Heavy,168,9.42,28.6,21.15,Strong Ale,3,3
13143,20287,Jahnke's Generic IPA,American IPA,7,5.47,50.69,7.53,Pale Ale,2,5
27600,43791,Wild NZ IPA,American IPA,7,6.61,94.78,8.16,Pale Ale,2,5
33524,53448,Soup,Irish Extra Stout,91,6.04,42.86,34.8,Stout/Porter,5,4
10371,15877,Hill Station,American IPA,7,6.6,30.0,11.1,Pale Ale,2,5
17277,26926,London Stout,Sweet Stout,162,4.63,34.69,50.0,Stout/Porter,5,4
16026,24881,TBAIIPA,Imperial IPA,86,10.46,90.0,11.7,Pale Ale,2,5
1204,1673,Citra Pale Ale CPA,American Pale Ale,10,4.97,64.09,5.0,Pale Ale,2,5
6379,9445,Lemongrass IPA,American IPA,7,6.47,59.94,7.93,Pale Ale,2,5
40560,64805,Czech hops,English IPA,65,5.62,46.16,5.0,Pale Ale,2,5
15924,24729,Heavy Weight Summer IPA,American IPA,7,8.31,90.0,5.0,Pale Ale,2,5
13909,21521,Summer Sour,Berliner Weisse,27,3.33,4.01,3.09,Wheat,0,0
4322,6235,Hound of the Baskervilles (Tricentennial Sto...,Russian Imperial Stout,132,8.61,90.0,40.0,Stout/Porter,5,4
3820,5515,Houblon Clone,American IPA,7,6.14,61.27,5.0,Pale Ale,2,5
3614,5194,Dawn Budgie Milk stout,Sweet Stout,162,5.63,42.63,40.0,Stout/Porter,5,4
17048,26529,Stout it oat,Oatmeal Stout,114,5.66,27.65,36.31,Stout/Porter,5,4
21063,33079,Black Sheep Stout,Dry Stout,58,7.02,49.97,50.0,Stout/Porter,5,4
23825,37637,69 - Soixante-Neuf - 30-10-16,American IPA,7,5.8,30.0,6.83,Pale Ale,2,5
19599,30691,Extinction,Imperial IPA,86,9.88,87.49,8.3,Pale Ale,2,5
44003,70563,Hopfenwiesse,Weissbier,169,5.7,30.0,4.82,Wheat,0,0
39608,63249,Jompas Stout,American Stout,12,6.13,42.43,38.41,Stout/Porter,5,4
37592,59960,MAVE IPA 3.0,American IPA,7,5.9,58.92,5.33,Pale Ale,2,5
44839,71912,Hardmans Old,Brown Porter,37,5.23,32.81,25.81,Stout/Porter,5,4
27556,43715,Black Bella 2017,Foreign Extra Stout,72,5.91,35.83,36.08,Stout/Porter,5,4
14700,22800,Slip and Fall IIPA,Imperial IPA,86,7.44,90.0,10.65,Pale Ale,2,5
39880,63693,Ed's Longboard Lager,American Lager,8,5.47,13.18,3.97,Pale Lager/Blonde Ale,1,1
3357,4828,Central Coast Red,American Amber Ale,4,6.26,72.23,15.0,Pale Ale,2,5
41004,65534,Stargazing,Blonde Ale,30,4.78,23.48,3.91,Pale Lager/Blonde Ale,1,1
42451,67929,La Touski bière ambrée de blé,American Amber Ale,4,5.59,33.06,15.0,Pale Ale,2,5
27616,43815,Conan ale,Blonde Ale,30,5.67,18.8,3.98,Pale Lager/Blonde Ale,1,1
45254,72567,LBS,Oatmeal Stout,114,7.42,79.28,50.0,Stout/Porter,5,4
44054,70648,DOUBLE IPA,Double IPA,56,7.53,81.05,6.59,Pale Ale,2,5
42048,67249,Mi Belgian Ultima,Belgian Pale Ale,24,4.96,30.0,11.37,Pale Ale,2,5
43067,69005,Saison avoine,Saison,134,4.68,30.71,5.0,Pale Ale,2,5
34234,54574,Kölsch 2016,Kölsch,94,6.3,28.0,4.12,Pale Lager/Blonde Ale,1,1
8170,12363,Hop Pressed,Imperial IPA,86,7.58,90.0,7.78,Pale Ale,2,5
8687,13181,Lillo Pacific IPA,American IPA,7,6.98,70.02,12.13,Pale Ale,2,5
24653,39006,5 AM Saint,American Amber Ale,4,5.36,30.0,15.0,Pale Ale,2,5
3660,5262,Conscientious Objector,Imperial IPA,86,8.21,90.0,5.24,Pale Ale,2,5
20082,31498,Black bird,Baltic Porter,19,6.28,39.38,24.25,Stout/Porter,5,4
6225,9205,Jack Jack II,American Pale Ale,10,5.35,46.96,13.32,Pale Ale,2,5
13641,21087,Special Snowflake Chocolate Oatmeal Stout...,Oatmeal Stout,114,7.21,19.79,31.87,Stout/Porter,5,4
5916,8711,Adirondack Cream Ale 2.0,Cream Ale,45,6.4,28.0,3.31,Pale Lager/Blonde Ale,1,1
34461,54941,Ferment Magazine New England DIPA,Double IPA,56,8.08,31.72,5.0,Pale Ale,2,5
18218,28453,Staut okse,Oatmeal Stout,114,6.04,24.6,32.16,Stout/Porter,5,4
5490,8044,Red American Pale Ale,American Pale Ale,10,4.9,36.95,8.85,Pale Ale,2,5
24749,39162,CYBI Obsidian Stout,American Stout,12,6.49,67.61,46.08,Stout/Porter,5,4
30813,49023,Rye Pale Ale 5 Gallon,American Pale Ale,10,5.2,42.63,6.98,Pale Ale,2,5
40285,64366,80'S Reef,Scottish Export,136,6.0,25.31,15.89,Strong Ale,3,3
33311,53102,Raspberry American Hefeweissen,Weissbier,169,4.42,12.0,3.58,Wheat,0,0
36803,58674,Gjesvaer Lager,Czech Pale Lager,49,4.52,22.82,3.03,Pale Lager/Blonde Ale,1,1
14208,22012,Angry Grouse Pale Ale,American Pale Ale,10,6.62,45.31,9.7,Pale Ale,2,5
6198,9165,Vienna Pale Ale,American IPA,7,5.85,58.22,11.24,Pale Ale,2,5
24547,38829,Borlivin,American Barleywine,5,9.83,73.2,14.55,Strong Ale,3,3
24065,38046,Amber Rye Reclaimed,American Amber Ale,4,5.83,30.0,9.94,Pale Ale,2,5
11980,18479,The Wired Salarian(Coffee Saison),Saison,134,6.9,30.0,7.01,Pale Ale,2,5
25450,40327,Strawarrensberry Ale!,American Pale Ale,10,5.17,30.0,5.0,Pale Ale,2,5
22808,36005,PALE NUEVA,British Golden Ale,35,4.99,12.61,4.84,Pale Lager/Blonde Ale,1,1
41492,66345,Golden Shroom Single Malt,British Golden Ale,35,4.62,28.0,4.46,Pale Lager/Blonde Ale,1,1
22839,36056,Smoked English IPA,English IPA,65,5.63,36.6,11.37,Pale Ale,2,5
45534,73056,Fling ipa,American IPA,7,6.07,93.18,8.04,Pale Ale,2,5
9905,15182,Apricot Ale,American IPA,7,5.75,46.91,10.29,Pale Ale,2,5
36458,58153,West coast swing,American IPA,7,7.52,58.89,9.34,Pale Ale,2,5
38541,61493,Chai Milk Stout,American Stout,12,5.47,31.63,34.66,Stout/Porter,5,4
41019,65561,Paleale150l,American Pale Ale,10,4.5,30.75,6.5,Pale Ale,2,5
35727,56983,Summer Weisse,Weissbier,169,5.11,18.84,3.48,Wheat,0,0
5026,7306,MC Hammered,American Pale Ale,10,6.1,50.95,7.59,Pale Ale,2,5
22512,35523,AIPA 4.21.15,American IPA,7,7.28,60.16,6.39,Pale Ale,2,5
1248,1738,Lagunitas Little Sumpin' Sumpin' Clone,American IPA,7,6.21,49.27,5.97,Pale Ale,2,5
23980,37903,BPB - Davantage DIPA,Imperial IPA,86,9.47,98.89,13.28,Pale Ale,2,5
40927,65413,Terrier IPA,American IPA,7,5.68,62.46,5.9,Pale Ale,2,5
41628,66571,Toasty O's Oatmeal Stout,Oatmeal Stout,114,5.49,38.47,25.88,Stout/Porter,5,4
28653,45489,Best British Bitter,Best Bitter,28,4.18,34.01,12.97,Pale Ale,2,5
29937,47558,West coast cruiser no1,American Pale Ale,10,5.11,37.11,5.48,Pale Ale,2,5
23003,36323,Wai-iti Waimea IPA,English IPA,65,5.47,51.38,11.67,Pale Ale,2,5
19850,31096,Weisse,Berliner Weisse,27,3.39,7.03,2.54,Wheat,0,0
8049,12172,Wes Mod of CCTRC,American IPA,7,7.61,70.45,9.29,Pale Ale,2,5
12932,19965,Yeast Mode,Specialty IPA: Belgian IPA,147,6.23,71.71,6.26,Pale Ale,2,5
16604,25839,HveteIPA,American IPA,7,7.0,66.97,9.67,Pale Ale,2,5
34567,55114,Oct 16 IPA,American IPA,7,7.24,84.71,9.63,Pale Ale,2,5
25977,41151,Fresnel Lens IPA,American IPA,7,5.91,54.71,8.78,Pale Ale,2,5
7948,12003,Nim Wit,American Wheat or Rye Beer,15,5.11,19.18,5.7,Wheat,0,0
23204,36643,Pheland IPA,American IPA,7,8.42,76.51,5.0,Pale Ale,2,5
5371,7832,Blinde,Belgian Blond Ale,20,6.25,28.0,4.67,Pale Lager/Blonde Ale,1,1
22522,35541,September Song Saison,Saison,134,6.67,30.0,6.24,Pale Ale,2,5
7775,11720,Summer Ale,American Pale Ale,10,5.04,44.62,8.99,Pale Ale,2,5
10732,16461,Spiced Saison,Saison,134,6.67,30.0,5.0,Pale Ale,2,5
6388,9466,Jalapeno ipa,American IPA,7,6.05,53.54,9.68,Pale Ale,2,5
